IMEI,Maker,Model,Color,Color Temp,Lux,R,G,B,C,Red,Green,Blue
,PostCards,Pantone,100,3350,12021,16722,15330,9217,40976,104,95,57
,PostCards,Pantone,12-0727,3131,10627,16014,13828,8197,37674,108,93,55
,PostCards,Pantone,13-0850,2865,9467,15320,12427,7068,34377,113,92,52
,PostCards,Pantone,7548,2333,8016,14933,10572,5222,30237,125,89,44
,PostCards,Pantone,108,2649,10579,16050,12898,6240,34846,117,94,45
,PostCards,Pantone,14-0852,2406,8224,15101,10894,5557,31040,124,89,45
,PostCards,Pantone,14-0848,2843,7875,13697,10788,6428,30401,114,90,53
,PostCards,Pantone,142,2286,5724,13897,9120,5682,28029,126,82,51
,PostCards,Pantone,9180,4549,10147,16270,15369,12062,43218,95,90,71
,PostCards,Pantone,14-1119,3528,5938,12780,9985,7750,29901,108,85,66
,PostCards,Pantone,15-1247,1631,2568,12616,6359,4608,22720,141,71,51
,PostCards,Pantone,16-1255,1622,2325,11709,5641,3794,20316,146,70,47
,PostCards,Pantone,152,5785,332,11382,4044,3218,17655,164,58,46
,PostCards,Pantone,166,30664,65291,11030,3518,3030,16579,169,54,46
,PostCards,Pantone,18-1248,2310,607,6444,2814,2380,11029,148,65,55
,PostCards,Pantone,19-1250,1635,542,3962,1935,1674,7197,140,68,59
,PostCards,Pantone,13-1107,5433,7307,12733,12084,10427,34675,93,88,76
,PostCards,Pantone,7590,4045,4120,10484,7980,6928,24738,108,82,71
,PostCards,Pantone,17-1436,1655,1052,6051,3121,2609,11293,136,70,58
,PostCards,Pantone,7415,2818,3905,13017,8479,7175,27879,119,77,65
,PostCards,Pantone,17-1456,35463,65254,10932,3661,3432,17022,163,54,51
,PostCards,Pantone,17-1564,36540,64712,10128,2930,2952,15015,172,49,50
,PostCards,Pantone,485,54619,63874,9942,2138,2472,13475,188,40,46
,PostCards,Pantone,19-4305,4736,550,1533,1167,1084,3631,107,81,76
,PostCards,Pantone,7,7082,2871,4744,4901,4542,13901,87,89,83
,PostCards,Pantone,2,5471,6954,10981,10954,9250,30774,90,90,76
,PostCards,Pantone,17-1210,4735,3425,5847,5420,4415,15445,96,89,72
,PostCards,Pantone,414,5768,4968,7543,7776,6635,21630,88,91,78
,PostCards,Pantone,13-5304,4727,6313,11304,10248,8460,29472,97,88,73
,PostCards,Pantone,476,3538,749,2132,1522,1312,4762,114,81,70
,PostCards,Pantone,16-1439,2233,2587,8130,5025,3695,16260,127,78,57
,PostCards,Pantone,4685,3956,6372,12514,10430,8235,30636,104,86,68
,PostCards,Pantone,732,2806,725,2235,1481,1211,4733,120,79,65
,PostCards,Pantone,16-1432,1670,1271,6286,3266,2517,11513,139,72,55
,PostCards,Pantone,466,3156,4565,8836,6944,4817,20180,111,87,60
,PostCards,Pantone,4545,4043,8651,12846,12166,8718,33336,98,93,66
,PostCards,Pantone,15-0942,2691,5028,8882,6809,3874,19111,118,90,51
,PostCards,Pantone,605,2749,9446,13163,11118,5231,29283,114,96,45
,PostCards,Pantone,600,3592,11424,15585,14783,9357,39422,100,95,60
,PostCards,Pantone,3985,2958,3639,5378,4579,2516,12264,111,95,52
,PostCards,Pantone,15-0543,3053,7104,8824,8207,4078,20777,108,100,50
,PostCards,Pantone,394,3030,11723,14441,13438,6556,34223,107,100,48
,PostCards,Pantone,583,3312,8013,8504,8846,4355,21517,100,104,51
,PostCards,Pantone,13-0645,3277,10829,12962,12639,6710,32052,103,100,53
,PostCards,Pantone,12-0524,3814,10666,14028,13825,9018,36524,97,96,62
,PostCards,Pantone,383,3269,6550,6859,7143,3412,17241,101,105,50
,PostCards,Pantone,7493,4376,7855,9025,9991,6809,25493,90,99,68
,PostCards,Pantone,12-0313,4989,9400,11095,12605,9418,32748,86,98,73
,PostCards,Pantone,11-4804,5853,9828,14856,15404,13201,42976,88,91,78
,PostCards,Pantone,18-0119,4903,2417,2847,3222,2382,8190,88,100,74
,PostCards,Pantone,7737,4196,6234,4529,6502,3495,14316,80,115,62
,PostCards,Pantone,15-6437,4589,7639,5764,8364,5042,18890,77,112,68
,PostCards,Pantone,345,6332,7886,7057,10186,8061,24941,72,104,82
,PostCards,Pantone,19-6110,6125,838,1706,1546,1431,4505,96,87,81
,PostCards,Pantone,350,5461,1157,1520,1670,1345,4382,88,97,78
,PostCards,Pantone,7726,5573,3257,1826,3508,2304,7446,62,120,78
,PostCards,Pantone,9041,5587,9542,12696,13930,11371,37617,86,94,77
,PostCards,Pantone,18-5621,9319,2167,2316,3287,3100,8437,69,99,93
,PostCards,Pantone,5555,6550,2875,3579,4248,3644,11218,81,96,82
,PostCards,Pantone,12-5204,6621,9515,11492,13921,11922,36922,79,96,82
,PostCards,Pantone,17-5722,7686,3308,2992,4525,3911,11117,68,103,89
,PostCards,Pantone,3278,6628,5104,2186,5503,3924,11302,49,124,88
,PostCards,Pantone,7720,9373,1715,1502,2443,2258,6025,63,103,95
,PostCards,Pantone,15-5210,8601,5359,6210,8216,7640,21636,73,96,90
,PostCards,Pantone,9044,7098,9074,10862,13459,11808,35711,77,96,84
,PostCards,Pantone,18-4525,22587,3059,2123,4965,5585,12320,43,102,115
,PostCards,Pantone,14-4516,10195,6444,6983,10020,9706,26245,67,97,94
,PostCards,Pantone,635,8791,8375,9542,12823,11977,33896,71,96,90
,PostCards,Pantone,19-3921,18772,594,1687,1547,1775,4812,89,81,94
,PostCards,Pantone,18-4530,32541,1547,1699,2979,3556,7976,54,95,113
,PostCards,Pantone,18-4330,58920,2677,2314,5292,6728,13940,42,96,123
,PostCards,Pantone,291,15687,6056,7434,10701,11504,29123,65,93,100
